FY0001 0.99%
FY0001-yeast 1.81%
FY0002 64.99%
FY0002-yeast 89.24%
FY0003 98.54%
FY0003-yeast 97.02%
FY0004 98.64%
FY0004-yeast 98.71%
FY0005 2.81%
FY0005-yeast 8.70%
FY0006 2.33%
FY0006-yeast 98.40%
FY0007 98.74%
FY0007-yeast 97.98%
FY0008 98.65%
FY0008-yeast 97.52%
FY0009 98.56%
FY0009-yeast 97.21%
FY0010 3.31%
FY0010-yeast 6.84%
FY0011 98.93%
FY0011-yeast 97.59%
FY0012 6.92%
FY0012-yeast 10.75%
FY0013 1.56%
FY0013-yeast 3.94%
FY0014 97.82%
FY0014-yeast 97.04%
FY0015 98.21%
FY0015-yeast 97.73%
FY0016 2.10%
FY0016-yeast 4.78%
FY0017 3.79%
FY0017-yeast 7.12%
FY0018 98.87%
FY0018-yeast 96.88%
FY0019 97.78%
FY0019-yeast 97.46%
FY0020 98.55%
FY0020-yeast 98.38%
FY0021 98.04%
FY0021-yeast 97.32%
FY0022 98.77%
FY0022-yeast 97.16%
FY0023 4.81%
FY0023-yeast 8.96%
FY0024 97.62%
FY0024-yeast 96.87%
FY0025 1.89%
FY0025-yeast 4.27%
FY0026 98.64%
FY0026-yeast 98.71%
FY0027 98.66%
FY0027-yeast 96.89%
FY0028 98.21%
FY0028-yeast 97.77%
-yeast 0.00%
