AvgSpotLen_l	BioSample_s	Experiment_s	Instrument_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	alternative_isolate_s	collection_date_s	geo_loc_name_s	isolation_source_s	strain_s	common_loci_l	matching_alleles_l	main_only_loci_l	other_only_loci_l	mismatches_l	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	sample_type_s
194	SAMN05190399	SRX2914029	Illumina HiSeq 2000	beer038	2017-06-13	1318	872	2017-06-13	SRR5678690	SRS2280295	BE038	Beer isolate 38	01-Jan-1950	missing	Beer	beer038						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190397	SRX2914031	Illumina HiSeq 2000	beer036	2017-06-13	1430	924	2017-06-13	SRR5678688	SRS2280296	BE036	Beer isolate 36	01-Jan-1950	Belgium: (UK origin)	Beer	beer036						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190398	SRX2914030	Illumina HiSeq 2000	beer037	2017-06-13	1476	994	2017-06-13	SRR5678689	SRS2280297	BE037	Beer isolate 37	01-Jan-1950	Belgium: (UK origin)	Beer	beer037						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190396	SRX2914032	Illumina HiSeq 2000	beer035	2017-06-13	2485	1640	2017-06-13	SRR5678687	SRS2280298	BE035	Beer isolate 35	01-Jan-1950	Belgium: (UK origin)	Beer	beer035						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190395	SRX2914033	Illumina HiSeq 2000	beer034	2017-06-13	1362	878	2017-06-13	SRR5678686	SRS2280299	BE034	Beer isolate 34	01-Jan-1950	Belgium	Beer	beer034						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190394	SRX2914034	Illumina HiSeq 2000	beer033	2017-06-13	1495	964	2017-06-13	SRR5678685	SRS2280300	BE033	Beer isolate 33	01-Jan-1950	United Kingdom: England	Beer	beer033						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190393	SRX2914035	Illumina HiSeq 2000	beer032	2017-06-13	1255	810	2017-06-13	SRR5678684	SRS2280301	BE032	Beer isolate 32	01-Jan-1950	United Kingdom: England	Beer	beer032						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190392	SRX2914036	Illumina HiSeq 2000	beer031	2017-06-13	1347	863	2017-06-13	SRR5678683	SRS2280302	BE031	Beer isolate 31	01-Jan-1950	Belgium	Beer	beer031						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190401	SRX2914037	Illumina HiSeq 2000	beer040	2017-06-13	1319	849	2017-06-13	SRR5678682	SRS2280303	BE040	Beer isolate 40	01-Jan-1950	USA	Beer	beer040						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
194	SAMN05190382	SRX2914039	Illumina HiSeq 2000	beer021	2017-06-13	1298	858	2017-06-13	SRR5678680	SRS2280304	BE021	Beer isolate 21	01-Jan-1950	Canada	Beer	beer021						WGS	PRJNA323691	Microbe, viral or environmental	public	0	PAIRED	unspecified	GENOMIC	Saccharomyces cerevisiae	ILLUMINA	SRP109074	cell culture
