Code	Origin	Niche	Subpopulation	Average fold sequence coverage	Total size assembly (Mb)	GC content (%)	Nr of scaffolds	N50 (Kb)	Genes annotated (homology to S288c + de novo prediction)	BioProject ID	BioSample ID	Accession										
BE001	Belgium	Beer	Britain	205.7	11.96	38.11	248	896	"6,165"	323691	SAMN05190362	MCAB00000000
BE002	Bulgaria	Beer	Beer2	128.3	12.14	38.11	197	897	"6,268"	323691	SAMN05190363	MCAA00000000
BE003	Ukraine	Beer	Beer2	100	12.07	38.17	103	899	"6,255"	323691	SAMN05190364	MBZZ00000000
BE004	Belgium	Beer	Beer2	142.5	12.21	38.14	280	904	"6,324"	323691	SAMN05190365	MBZY00000000
BE005	Belgium	Beer (Ale)	Mixed	137.3	12.36	38.15	342	901	"6,288"	323691	SAMN05190366	MBZX00000000
BE006	Unknown	Beer (Ale refermentation)	Mixed	168.3	12.52	38.12	484	907	"6,399"	323691	SAMN05190367	MBZW00000000
BE007	US	Beer (Ale)	US	150.2	11.92	38.14	220	893	"6,138"	323691	SAMN05190368	MBZV00000000
BE008	Germany	Beer (Ale)	Belgium/Germany	133.1	12.15	38.11	267	895	"6,195"	323691	SAMN05190369	MBZU00000000
BE009	England	Beer (Stout)	Britain	108.6	12.03	38.1	299	893	"6,203"	323691	SAMN05190370	MBZT00000000
BE010	Scotland	Beer	Britain	105.7	12.24	38.12	286	893	"6,194"	323691	SAMN05190371	MBZS00000000
BE011	Belgium	Beer (Abbey)	Beer2	108.5	12.16	38.16	160	899	"6,281"	323691	SAMN05190372	MBZR00000000
BE012	England	Beer (Bitter)	Belgium/Germany	122.3	12.12	38.13	246	900	"6,187"	323691	SAMN05190373	MBZQ00000000
BE013	Belgium	Beer (Ale refermentation)	Beer2	169.6	12.3	38.12	301	920	"6,354"	323691	SAMN05190374	MBZP00000000
BE014	Belgium	Beer (Strong ale)	Wine	215	11.94	38.09	130	903	"6,242"	323691	SAMN05190375	MBZO00000000
BE015	Belgium	Beer	Belgium/Germany	100.7	12	38.08	183	892	"6,196"	323691	SAMN05190376	MBZN00000000
BE016	Belgium	Beer	Belgium/Germany	141	12.06	38.08	178	897	"6,162"	323691	SAMN05190377	MBZM00000000
BE017	Belgium	Beer	Mosaic	106.5	12.05	38.09	193	890	"6,164"	323691	SAMN05190378	MBZL00000000
BE018	Canada	Beer	Mosaic	120.2	12.18	38.1	49	923	"6,380"	323691	SAMN05190379	MBZK00000000
BE019	Canada	Beer	Mosaic	111.7	12.1	38.08	222	891	"6,189"	323691	SAMN05190380	MBZJ00000000
BE020	Belgium	Beer	Wine	110.7	11.91	38.15	92	895	"6,226"	323691	SAMN05190381	MBZI00000000
BE021	Canada	Beer (Pale ale)	Beer2	104	12.21	38.1	264	894	"6,351"	323691	SAMN05190382	MBZH00000000
BE022	Belgium	Beer (Ale refermentation)	Belgium/Germany	117.8	12.05	38.07	230	899	"6,204"	323691	SAMN05190383	MBZG00000000
BE023	Belgium	Beer (Ale refermentation)	Mixed	103.4	12.4	38.1	378	908	"6,346"	323691	SAMN05190384	MBZF00000000
BE024	Belgium	Beer (Ale refermentation)	Wine	110.6	12.1	38.12	96	898	"6,233"	323691	SAMN05190385	MBZE00000000
BE025	Belgium	Beer (Ale refermentation)	Mixed	125.8	12.42	38.14	433	901	"6,353"	323691	SAMN05190386	MBZD00000000
BE026	Belgium	Beer (Ale refermentation)	Belgium/Germany	134.7	12.12	38.08	259	895	"6,202"	323691	SAMN05190387	MBZC00000000
BE027	Belgium	Beer (Ale refermentation)	Beer2	89.7	12.14	38.1	220	895	"6,305"	323691	SAMN05190388	MBZB00000000
